model_id,model_reported,prompt_id,temperature,embedder,policy,n_scored,mean,sd,ci_lo,ci_hi,min,max,valid_rate,gaming_index,jaccard,distinct,total,distinct_ratio,n_runs,n_refused,n_failed
lfm2.5-1.2b,liquid/lfm2.5-1.2b,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.436107,0.0,0.436107,0.436107,0.436107,0.436107,1.0,0.436107,0.817918,13,97,0.134021,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.427359,0.004725,0.424953,0.43053,0.424074,0.436107,0.99,0.423086,0.623046,16,98,0.163265,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.427363,0.007707,0.423066,0.432084,0.418517,0.440438,0.988889,0.422615,0.588062,17,97,0.175258,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.395387,0.0,0.395387,0.395387,0.395387,0.395387,0.8,0.316309,0.881481,9,80,0.1125,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.400745,0.006559,0.397001,0.40482,0.395387,0.411527,0.85,0.340633,0.680786,14,85,0.164706,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.401341,0.006283,0.397768,0.405245,0.395387,0.411527,0.86,0.345153,0.657935,14,86,0.162791,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.464756,0.0,0.464756,0.464756,0.464756,0.464756,1.0,0.464756,1.0,10,100,0.1,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.464756,0.0,0.464756,0.464756,0.464756,0.464756,1.0,0.464756,1.0,10,100,0.1,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.464756,0.0,0.464756,0.464756,0.464756,0.464756,1.0,0.464756,1.0,10,100,0.1,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.370131,0.008314,0.366645,0.375294,0.364967,0.382179,0.93,0.344222,0.872727,11,93,0.11828,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.370131,0.008314,0.364967,0.375294,0.364967,0.382179,0.94,0.347923,0.817778,13,94,0.138298,10,0,0
lfm2.5-1.2b,liquid/lfm2.5-1.2b,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.371852,0.008888,0.366688,0.377016,0.364967,0.382179,0.95,0.353259,0.833737,12,95,0.126316,10,0,0
gemma-4-e4b,google/gemma-4-e4b,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.431127,0.0,0.431127,0.431127,0.431127,0.431127,1.0,0.431127,1.0,10,100,0.1,10,0,0
gemma-4-e4b,google/gemma-4-e4b,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,9,0.442308,0.019286,0.430524,0.454008,0.41664,0.470852,1.0,0.442308,0.080431,55,92,0.597826,10,1,0
gemma-4-e4b,google/gemma-4-e4b,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.443317,0.024394,0.428635,0.45689,0.399063,0.47189,1.0,0.443317,0.074133,62,100,0.62,10,0,0
gemma-4-e4b,google/gemma-4-e4b,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.407022,0.0,0.407022,0.407022,0.407022,0.407022,1.0,0.407022,1.0,10,100,0.1,10,0,0
gemma-4-e4b,google/gemma-4-e4b,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.410774,0.011777,0.403843,0.417741,0.390325,0.430564,1.0,0.410774,0.348895,30,100,0.3,10,0,0
gemma-4-e4b,google/gemma-4-e4b,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.406448,0.010135,0.400252,0.412093,0.384516,0.421628,1.0,0.406448,0.426475,24,100,0.24,10,0,0
gemma-4-e4b,google/gemma-4-e4b,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.401474,0.011377,0.397877,0.408669,0.397877,0.433853,1.0,0.401474,0.933333,12,100,0.12,10,0,0
gemma-4-e4b,google/gemma-4-e4b,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.422233,0.019364,0.409702,0.432537,0.378632,0.446723,1.0,0.422233,0.038016,78,100,0.78,10,0,0
gemma-4-e4b,google/gemma-4-e4b,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.408494,0.019302,0.397764,0.420602,0.38193,0.444892,1.0,0.408494,0.08031,62,100,0.62,10,0,0
gemma-4-e4b,google/gemma-4-e4b,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.421371,0.0,0.421371,0.421371,0.421371,0.421371,1.0,0.421371,1.0,10,100,0.1,10,0,0
gemma-4-e4b,google/gemma-4-e4b,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.43668,0.011757,0.429163,0.442955,0.413379,0.450701,1.0,0.43668,0.086441,65,100,0.65,10,0,0
gemma-4-e4b,google/gemma-4-e4b,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.43828,0.012893,0.430708,0.445732,0.419717,0.455915,1.0,0.43828,0.0831,58,100,0.58,10,0,0
gpt-5.5,gpt-5.5-2026-04-23,verbatim,n/a,text-embedding-embeddinggemma-300m,strict,10,0.441734,0.020061,0.430122,0.453916,0.411544,0.476984,1.0,0.441734,0.116111,58,100,0.58,10,0,0
